expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
-ma-,strong,epistemic,1,positive,no,V-ma-...,Frequently ol-ma-... (be-MOD-...)
-ma-,weak necessity,epistemic,1,positive,no,V-ma-...,
-ma-,weak,epistemic,?,positive,no,V-ma-...,
-ma-,strong,deontic,?,positive,no,V-ma-...,
-ma-,weak necessity,deontic,?,positive,no,V-ma-...,
-ma-,weak,deontic,?,positive,no,V-ma-...,
-ma-,strong,teleological,?,positive,no,V-ma-...,
-ma-,weak necessity,teleological,1,positive,no,V-ma-...,
-ma-,weak,teleological,?,positive,no,V-ma-...,
-ma-,strong,circumstantial,?,positive,no,V-ma-...,
-ma-,weak,circumstantial,?,positive,no,V-ma-...,
-ma-,strong,bouletic,1,positive,no,V-ma-...,
gerek,strong,epistemic,0,positive,no,gerek,
gerek,weak necessity,epistemic,?,positive,no,gerek,
gerek,weak,epistemic,?,positive,no,gerek,
gerek,strong,deontic,1,positive,no,gerek,
gerek,weak necessity,deontic,?,positive,no,gerek,
gerek,weak,deontic,?,positive,no,gerek,
gerek,strong,teleological,1,positive,no,gerek,
gerek,weak necessity,teleological,?,positive,no,gerek,
gerek,weak,teleological,?,positive,no,gerek,
gerek,strong,circumstantial,1,positive,no,gerek,
gerek,weak,circumstantial,?,positive,no,gerek,
gerek,strong,bouletic,1,positive,no,gerek,
şart,strong,epistemic,1,positive,no,şart,
şart,weak necessity,epistemic,?,positive,no,şart,
şart,weak,epistemic,?,positive,no,şart,
şart,strong,deontic,?,positive,no,şart,
şart,weak necessity,deontic,?,positive,no,şart,
şart,weak,deontic,?,positive,no,şart,
şart,strong,teleological,?,positive,no,şart,
şart,weak necessity,teleological,?,positive,no,şart,
şart,weak,teleological,?,positive,no,şart,
şart,strong,circumstantial,?,positive,no,şart,
şart,weak,circumstantial,?,positive,no,şart,
şart,strong,bouletic,?,positive,no,şart,
-dır,strong,epistemic,1,positive,no,-dır,Adjectival suffix
-dır,weak necessity,epistemic,1,positive,no,-dır,
-dır,weak,epistemic,?,positive,no,-dır,
