expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
zal,strong,epistemic,1,positive,no,zal,zal is the singular form of 'zullen'
zal,weak necessity,epistemic,1,positive,no,zal,
zal,weak,epistemic,?,positive,no,zal,
zal,strong,deontic,?,positive,no,zal,
zal,weak necessity,deontic,?,positive,no,zal,
zal,weak,deontic,?,positive,no,zal,
zal,strong,teleological,0,positive,no,zal,
zal,weak necessity,teleological,?,positive,no,zal,
zal,weak,teleological,?,positive,no,zal,
zal,strong,circumstantial,?,positive,no,zal,
zal,weak,circumstantial,?,positive,no,zal,
zal,strong,bouletic,?,positive,no,zal,
zal,strong,epistemic,?,negative,yes,zal niet,
zal,weak necessity,epistemic,?,negative,yes,zal niet,
zal,weak,epistemic,1,negative,yes,zal niet,
zal,strong,deontic,?,negative,yes,zal niet,
zal,weak necessity,deontic,?,negative,yes,zal niet,
zal,weak,deontic,?,negative,yes,zal niet,
zal,strong,teleological,?,negative,yes,zal niet,
zal,weak necessity,teleological,?,negative,yes,zal niet,
zal,weak,teleological,?,negative,yes,zal niet,
zal,strong,circumstantial,?,negative,yes,zal niet,
zal,weak,circumstantial,?,negative,yes,zal niet,
zal,strong,bouletic,?,negative,yes,zal niet,
moet/moeten,strong,epistemic,1,positive,no,moet/moeten,moet/moeten are singular/plural forms
moet/moeten,weak necessity,epistemic,?,positive,no,moet/moeten,
moet/moeten,weak,epistemic,?,positive,no,moet/moeten,
moet/moeten,strong,deontic,1,positive,no,moet/moeten,
moet/moeten,weak necessity,deontic,?,positive,no,moet/moeten,
moet/moeten,weak,deontic,?,positive,no,moet/moeten,
moet/moeten,strong,teleological,1,positive,no,moet/moeten,
moet/moeten,weak necessity,teleological,1,positive,no,moet/moeten,this might be contradictory to IFF
moet/moeten,weak,teleological,?,positive,no,moet/moeten,
moet/moeten,strong,circumstantial,1,positive,no,moet/moeten,
moet/moeten,weak,circumstantial,?,positive,no,moet/moeten,
moet/moeten,strong,bouletic,1,positive,no,moet/moeten,
moet/moeten,strong,epistemic,?,negative,yes,moet ... niet,
moet/moeten,weak necessity,epistemic,?,negative,yes,moet ... niet,
moet/moeten,weak,epistemic,?,negative,yes,moet ... niet,
moet/moeten,strong,deontic,?,negative,yes,moet ... niet,
moet/moeten,weak necessity,deontic,?,negative,yes,moet ... niet,
moet/moeten,weak,deontic,1,negative,yes,moet ... niet,
moet/moeten,strong,teleological,?,negative,yes,moet ... niet,
moet/moeten,weak necessity,teleological,?,negative,yes,moet ... niet,
moet/moeten,weak,teleological,?,negative,yes,moet ... niet,
moet/moeten,strong,circumstantial,?,negative,yes,moet ... niet,
moet/moeten,weak,circumstantial,?,negative,yes,moet ... niet,
moet/moeten,strong,bouletic,?,negative,yes,moet ... niet,
zou/zouden ... moeten,strong,epistemic,?,positive,no,zou/zouden ... moeten,zou/zouden are singular and plural form
zou/zouden ... moeten,weak necessity,epistemic,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,weak,epistemic,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,strong,deontic,1,positive,no,zou/zouden ... moeten,might contradict to IFF
zou/zouden ... moeten,weak necessity,deontic,1,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,weak,deontic,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,strong,teleological,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,weak necessity,teleological,1,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,weak,teleological,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,strong,circumstantial,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,weak,circumstantial,?,positive,no,zou/zouden ... moeten,
zou/zouden ... moeten,strong,bouletic,?,positive,no,zou/zouden ... moeten,
wil,strong,epistemic,?,positive,no,wil,wil is the singular form of 'willen'
wil,weak necessity,epistemic,?,positive,no,wil,
wil,weak,epistemic,?,positive,no,wil,
wil,strong,deontic,?,positive,no,wil,
wil,weak necessity,deontic,?,positive,no,wil,
wil,weak,deontic,?,positive,no,wil,
wil,strong,teleological,?,positive,no,wil,
wil,weak necessity,teleological,?,positive,no,wil,
wil,weak,teleological,?,positive,no,wil,
wil,strong,circumstantial,?,positive,no,wil,
wil,weak,circumstantial,?,positive,no,wil,
wil,strong,bouletic,1,positive,no,wil,
kan/kunnen,strong,epistemic,?,positive,no,kan/kunnen,kan/kunnen are singular and plural form
kan/kunnen,weak necessity,epistemic,?,positive,no,kan/kunnen,
kan/kunnen,weak,epistemic,?,positive,no,kan/kunnen,
kan/kunnen,strong,deontic,?,positive,no,kan/kunnen,
kan/kunnen,weak necessity,deontic,?,positive,no,kan/kunnen,
kan/kunnen,weak,deontic,?,positive,no,kan/kunnen,
kan/kunnen,strong,teleological,?,positive,no,kan/kunnen,
kan/kunnen,weak necessity,teleological,?,positive,no,kan/kunnen,
kan/kunnen,weak,teleological,1,positive,no,kan/kunnen,
kan/kunnen,strong,circumstantial,?,positive,no,kan/kunnen,
kan/kunnen,weak,circumstantial,1,positive,no,kan/kunnen,
kan/kunnen,strong,bouletic,?,positive,no,kan/kunnen,
kan/kunnen,strong,epistemic,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak necessity,epistemic,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak,epistemic,1,negative,yes,kan/kunnen ...niet,
kan/kunnen,strong,deontic,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak necessity,deontic,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak,deontic,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,strong,teleological,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak necessity,teleological,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak,teleological,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,strong,circumstantial,?,negative,yes,kan/kunnen ...niet,
kan/kunnen,weak,circumstantial,1,negative,yes,kan/kunnen ...niet,
kan/kunnen,strong,bouletic,?,negative,yes,kan/kunnen ...niet,
zou/zouden ... kunnen,strong,epistemic,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak necessity,epistemic,1,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak,epistemic,1,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,strong,deontic,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak necessity,deontic,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak,deontic,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,strong,teleological,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak necessity,teleological,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak,teleological,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,strong,circumstantial,?,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,weak,circumstantial,1,positive,no,zou/zouden ... kunnen,
zou/zouden ... kunnen,strong,bouletic,?,positive,no,zou/zouden ... kunnen,
waarschijnlijk ,strong,epistemic,?,positive,no,waarschijnlijk ,translated as 'probably' in English
waarschijnlijk ,weak necessity,epistemic,1,positive,no,waarschijnlijk ,
waarschijnlijk ,weak,epistemic,1,positive,no,waarschijnlijk ,
waarschijnlijk ,strong,deontic,?,positive,no,waarschijnlijk ,
waarschijnlijk ,weak necessity,deontic,?,positive,no,waarschijnlijk ,
waarschijnlijk ,weak,deontic,?,positive,no,waarschijnlijk ,
waarschijnlijk ,strong,teleological,?,positive,no,waarschijnlijk ,
waarschijnlijk ,weak necessity,teleological,?,positive,no,waarschijnlijk ,
waarschijnlijk ,weak,teleological,?,positive,no,waarschijnlijk ,
waarschijnlijk ,strong,circumstantial,?,positive,no,waarschijnlijk ,
waarschijnlijk ,weak,circumstantial,?,positive,no,waarschijnlijk ,
waarschijnlijk ,strong,bouletic,?,positive,no,waarschijnlijk ,
zal/zouden waarschijnlijk,strong,epistemic,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak necessity,epistemic,1,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak,epistemic,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,strong,deontic,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak necessity,deontic,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,weak,deontic,?,positive,no,zal/zouden waarschijnlijk,
zal/zouden waarschijnlijk,strong,teleological,?,positive,no,zal/zouden waarschijnlijk,
