expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
chắc hẳn,strong,epistemic,1,positive,no,chắc hẳn,
chắc hẳn,weak necessity,epistemic,?,positive,no,chắc hẳn,
chắc hẳn,weak,epistemic,0,positive,no,chắc hẳn,
chắc hẳn,strong,deontic,?,positive,no,chắc hẳn,
chắc hẳn,weak necessity,deontic,?,positive,no,chắc hẳn,
chắc hẳn,weak,deontic,?,positive,no,chắc hẳn,
chắc hẳn,strong,teleological,?,positive,no,chắc hẳn,
chắc hẳn,weak necessity,teleological,?,positive,no,chắc hẳn,
chắc hẳn,weak,teleological,?,positive,no,chắc hẳn,
chắc hẳn,strong,circumstantial,1,positive,no,chắc hẳn,
chắc hẳn,weak,circumstantial,?,positive,no,chắc hẳn,
chắc hẳn,strong,bouletic,?,positive,no,chắc hẳn,
chắc chắn,strong,epistemic,1,positive,no,chắc chắn,
chắc chắn,weak necessity,epistemic,?,positive,no,chắc chắn,
chắc chắn,weak,epistemic,?,positive,no,chắc chắn,
chắc chắn,strong,deontic,?,positive,no,chắc chắn,
chắc chắn,weak necessity,deontic,?,positive,no,chắc chắn,
chắc chắn,weak,deontic,?,positive,no,chắc chắn,
chắc chắn,strong,teleological,?,positive,no,chắc chắn,
chắc chắn,weak necessity,teleological,?,positive,no,chắc chắn,
chắc chắn,weak,teleological,?,positive,no,chắc chắn,
chắc chắn,strong,circumstantial,?,positive,no,chắc chắn,
chắc chắn,weak,circumstantial,?,positive,no,chắc chắn,
chắc chắn,strong,bouletic,?,positive,no,chắc chắn,
chắc chắn,strong,epistemic,?,negative,above,NEG + chắc chắn,
chắc chắn,weak necessity,epistemic,?,negative,above,NEG + chắc chắn,
chắc chắn,weak,epistemic,?,negative,above,NEG + chắc chắn,
chắc chắn,strong,deontic,?,negative,above,NEG + chắc chắn,
chắc chắn,weak necessity,deontic,?,negative,above,NEG + chắc chắn,
chắc chắn,weak,deontic,?,negative,above,NEG + chắc chắn,
chắc chắn,strong,teleological,?,negative,above,NEG + chắc chắn,
chắc chắn,weak necessity,teleological,?,negative,above,NEG + chắc chắn,
chắc chắn,weak,teleological,?,negative,above,NEG + chắc chắn,
chắc chắn,strong,circumstantial,1,negative,above,NEG + chắc chắn,
chắc chắn,weak,circumstantial,?,negative,above,NEG + chắc chắn,
chắc chắn,strong,bouletic,?,negative,above,NEG + chắc chắn,
lẽ,strong,epistemic,?,positive,no,có lẽ,có is the existential -- open question whether to reduce modal expression to the quantified lẽ or include the whole phrase. Same with có thể.
lẽ,weak necessity,epistemic,1,positive,no,có lẽ,
lẽ,weak,epistemic,0,positive,no,có lẽ,
lẽ,strong,deontic,?,positive,no,có lẽ,
lẽ,weak necessity,deontic,?,positive,no,có lẽ,
lẽ,weak,deontic,?,positive,no,có lẽ,
lẽ,strong,teleological,?,positive,no,có lẽ,
lẽ,weak necessity,teleological,?,positive,no,có lẽ,
lẽ,weak,teleological,?,positive,no,có lẽ,
lẽ,strong,circumstantial,?,positive,no,có lẽ,
